#{"t_start": 1521694464.1732147, "env_id": null}
r,l,t
-168.974515,10,0.363397
-26.017473,10,0.366096
-190.00703,10,0.368896
-12.730947,10,0.371674
-41.497007,10,0.374237
-24.756384,10,0.376744
-7.924795,10,0.379363
-14.07632,10,0.381991
-206.554769,10,0.384743
-4.635531,10,0.387313
-47.496502,10,0.468071
-27.341782,10,0.470425
-27.643311,10,0.472754
-13.717675,10,0.475342
-17.416708,10,0.477836
-14.406485,10,0.480517
-79.601958,10,0.48301
-10.664474,10,0.485545
-21.505022,10,0.488021
-39.193932,10,0.490492
-22.492453,10,0.508069
-12.07056,10,0.510646
-29.297773,10,0.513234
-6.746799,10,0.515867
-36.841183,10,0.518252
-41.759264,10,0.520618
-18.938215,10,0.52316
-13.599762,10,0.525675
-66.072503,10,0.528191
-42.290865,10,0.53071
-18.510067,10,0.54774
-26.785355,10,0.550237
-9.990898,10,0.552864
-42.107555,10,0.555537
-14.642387,10,0.558197
-8.160251,10,0.560823
-7.239924,10,0.563373
-31.938215,10,0.566062
-15.320982,10,0.568895
-52.723331,10,0.571597
-13.458398,10,0.590199
-6.830562,10,0.592768
-22.514504,10,0.595284
-16.625467,10,0.5978
-41.76348,10,0.60078
-15.544686,10,0.603667
-16.111035,10,0.606217
-18.605001,10,0.608732
-33.348391,10,0.611518
-22.569365,10,0.614118
-92.085559,10,0.632473
-6.68885,10,0.635125
-5.567498,10,0.637475
-71.423914,10,0.63994
-18.486051,10,0.642328
-68.843615,10,0.645077
-16.155371,10,0.647606
-16.732619,10,0.650054
-55.613637,10,0.652689
-8.950316,10,0.655227
-144.768486,10,0.671661
-24.498198,10,0.674224
-7.032697,10,0.676772
-17.995277,10,0.679333
-4.221277,10,0.681876
-4.802268,10,0.684417
-10.816396,10,0.686964
-22.437837,10,0.689503
-38.88691,10,0.692044
-29.09,10,0.694602
-13.128879,10,0.711001
-38.274064,10,0.713528
-20.887742,10,0.716131
-6.372808,10,0.718633
-8.868108,10,0.721214
-5.345106,10,0.7237
-50.463903,10,0.726277
-34.798233,10,0.728788
-12.889525,10,0.731365
-35.427637,10,0.733874
-4.340619,10,0.750105
-35.296848,10,0.752664
-29.260147,10,0.755253
-11.01332,10,0.757731
-71.332767,10,0.760365
-37.793603,10,0.762913
-52.507344,10,0.765452
-59.847532,10,0.768047
-9.72289,10,0.770592
-4.735753,10,0.773177
-13.170795,10,0.790599
-22.227934,10,0.793239
-5.483055,10,0.795852
-12.711376,10,0.798369
-13.73077,10,0.80092
-43.009455,10,0.803517
-25.723587,10,0.806229
-2.891212,10,0.808821
-11.261817,10,0.811371
-5.248808,10,0.813954
-8.03141,10,0.830848
-9.694831,10,0.833393
-7.797799,10,0.835957
-5.30755,10,0.83852
-21.820799,10,0.841094
-13.500537,10,0.843641
-8.269254,10,0.846173
-44.195606,10,0.848712
-4.715273,10,0.851279
-3.315895,10,0.853834
-9.520803,10,0.870445
-2.436362,10,0.873007
-19.756587,10,0.875543
-6.768509,10,0.878075
-3.699127,10,0.880615
-8.346399,10,0.883193
-5.743016,10,0.885706
-1.664123,10,0.888267
-57.528906,10,0.89081
-26.25667,10,0.893364
-12.856163,10,0.909635
-5.915999,10,0.912264
-39.640886,10,0.914846
-5.957704,10,0.917435
-9.808461,10,0.919917
-7.985475,10,0.922478
